3.038417	35.813500	E1
35.813500	62.218292	remove
62.218292	102.131896	E2
102.131896	151.851292	remove
151.851292	197.608667	E3
197.608667	225.480854	remove
225.480854	373.862146	E4
373.862146	644.487521	remove
644.487521	697.469750	E5
697.469750	905.894083	remov
905.894083	1232.626417	E6
1232.626417	1248.789917	remove
1248.789917	1567.210000	E7
1567.210000	1596.140396	remove
1596.140396	1676.825063	E8
1676.825063	1751.287167	remove
1751.287167	1919.227396	E9
1919.227396	1956.191438	remove
1956.191438	2296.912979	E10
2296.912979	2379.687333	remove
2379.687333	2556.589958	E11
2556.589958	2569.360188	remove
2569.360188	2751.649521	E12
2751.649521	2797.982271	remove
2797.982271	2908.659604	E13
2908.659604	2950.308000	remove
2950.308000	3019.766479	E14
3019.766479	3105.547646	remove
3105.547646	3200.407292	E15
3200.407292	3212.318438	remove
3212.318438	3218.053438	E16
3218.053438	3245.822896	remove
3245.822896	3270.568125	E17
3270.568125	3307.584417	remove
3307.584417	3473.806458	E18
3473.806458	3525.189250	remove
3525.189250	3585.255813	E19
3585.255813	3600.060583	remove
3600.060583	3762.349979	E20
3762.349979	3775.300167	remove
3775.300167	3827.658146	E21
3827.658146	3878.112000	remove
